# List of Altinity Stable Build releases. Each line contains three fields
# separated by whitespace: The name of the release, the date of the release,
# and the end-of-life date for that release. When a new point release ships,
# edit the current point release (iow, change 23.8.8.17 to 23.8.11.29, don't
# create a new line), edit the date to the date the point release shipped,
# and edit the end-of-life date if applicable. Which it probably isn't.

23.8.11.29.altinitystable	2024-04-30	2026-12-27
23.3.19.34.altinityfips	2024-03-21	2026-07-14
23.3.19.33.altinitystable	2023-08-24	2026-07-14
22.8.20.12.altinitystable	2023-08-24	2026-02-13
22.8.15.25.altinityfips	2023-05-31	2026-02-13
22.3.15.34.altinitystable	2022-12-22	2025-07-15
21.8.15.15.altinitystable	2022-08-15	2024-08-30
21.3.20.2.altinitystable	2022-02-10	2024-03-31
21.1.11.3.altinitystable	2022-06-01	2023-01-31
20.8.11.17.altinitystable	2020-12-25	2022-12-02
20.3.19.4.altinitystable 	2020-09-23	2022-06-24
19.16.19.85.altinitystable	2020-04-20	2022-06-24
19.13.7.57.altinitystable	2019-11-28	2022-06-24
19.11.8.altinitystable	2019-09-03	2022-06-24
18.14.19.altinitystable	2018-12-31	2022-06-24
